CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Historical_CLV,AOV,Predicted_CLV,Span_Days,Frequency_Per_Year
12346.0,326,12,77556.46,2,4,4,244,Others,77556.46,6463.038333333334,70770.26975,400,10.950000000000001
12347.0,2,8,4921.53,4,4,4,444,Champions,4921.53,615.19125,4468.553358208955,402,7.263681592039801
12348.0,75,5,2019.4,3,3,3,333,Others,2019.4,403.88,2036.135359116022,362,5.041436464088398
12349.0,19,4,4428.69,4,3,4,434,Champions,4428.69,1107.1725,2835.915526315789,570,2.56140350877193
12350.0,310,1,334.4,2,1,1,211,Others,334.4,334.4,17388.8,1,52.0
12351.0,375,1,300.93,2,1,1,211,Others,300.93,300.93,15648.36,1,52.0
12352.0,36,10,2849.84,3,4,4,344,Champions,2849.84,284.98400000000004,2921.886516853933,356,10.252808988764045
12353.0,204,2,406.76,2,2,2,222,Others,406.76,203.38,727.7813725490196,204,3.5784313725490193
12354.0,232,1,1079.4,2,1,3,213,Others,1079.4,1079.4,56128.8,1,52.0
12355.0,214,2,947.61,2,2,3,223,Others,947.61,473.805,979.8233711048158,353,2.0679886685552407
12356.0,23,6,6371.73,4,3,4,434,Champions,6371.73,1061.955,5799.704364089775,401,5.461346633416459
12357.0,33,3,18287.66,3,2,4,324,Potential Loyalist,18287.66,6095.886666666666,18802.805352112675,355,3.084507042253521
12358.0,2,5,3887.07,4,3,4,434,Champions,3887.07,777.414,1943.5349999999999,730,2.5
12359.0,58,10,8873.39,3,4,4,344,Champions,8873.39,887.3389999999999,4791.105547337278,676,5.399408284023669
12360.0,52,8,4252.89,3,4,4,344,Champions,4252.89,531.61125,2574.3032338308462,603,4.842454394693201
12361.0,287,4,511.25,2,3,2,232,Others,511.25,127.8125,473.619923857868,394,3.7055837563451774
12362.0,3,11,5356.23,4,4,4,444,Champions,5356.23,486.92999999999995,2659.8965306122445,735,5.462585034013605
12363.0,110,2,552.0,2,2,2,222,Others,552.0,276.0,1526.3636363636363,132,5.53030303030303
12364.0,8,4,1313.1,4,3,3,433,Loyal Customers,1313.1,328.275,4608.475961538461,104,14.038461538461538
12365.0,291,2,641.38,2,2,2,222,Others,641.38,320.69,16675.88,1,52.0
12366.0,634,1,500.24,1,1,2,112,Lost Customers,500.24,500.24,26012.48,1,52.0
12367.0,4,1,168.9,4,1,1,411,Potential Loyalist,168.9,168.9,8782.800000000001,1,52.0
12368.0,628,1,917.6999999999999,1,1,3,113,Lost Customers,917.6999999999999,917.6999999999999,47720.399999999994,1,52.0
12369.0,413,3,1791.15,1,2,3,123,Others,1791.15,597.0500000000001,2867.4111842105267,228,4.802631578947368
12370.0,51,7,4316.56,3,3,4,334,Others,4316.56,616.6514285714286,2553.5565640194486,617,4.1410048622366284
12371.0,45,5,4067.38,3,3,4,334,Others,4067.38,813.476,2474.3228333333336,600,3.041666666666667
